dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,11.351196,9.763337,12.137921,1.936207,-2.726372,0.286756,6.187281
0.050000,11.440861,9.755300,12.227946,1.800494,-2.714265,0.242133,6.200309
0.050000,11.523880,9.748911,12.311210,1.665284,-2.704198,0.201352,6.212454
0.050000,11.600242,9.743931,12.387734,1.530486,-2.695959,0.164772,6.223686
0.050000,11.669940,9.740139,12.457535,1.396020,-2.689331,0.132557,6.233985
0.050000,11.732968,9.737330,12.520626,1.261815,-2.684096,0.104698,6.243331
0.050000,11.789323,9.735319,12.577017,1.127813,-2.680043,0.081065,6.251711
0.050000,11.839002,9.733939,12.626715,0.993964,-2.676973,0.061403,6.259114
0.050000,11.882004,9.733042,12.669726,0.860229,-2.674703,0.045397,6.265533
0.050000,11.918329,9.732499,12.706055,0.726575,-2.673070,0.032667,6.270961
0.050000,11.947976,9.732203,12.735704,0.592979,-2.671930,0.022792,6.275396
0.050000,11.970947,9.732063,12.758675,0.459421,-2.671163,0.015350,6.278834
0.050000,11.987241,9.732012,12.774970,0.325887,-2.670669,0.009879,6.281274
0.050000,11.996860,9.732001,12.784588,0.192369,-2.670371,0.005949,6.282715
0.050000,12.000000,9.732000,12.787728,0.062806,-2.591254,1.582347,6.283185
0.050000,12.000000,9.732000,12.787728,0.000000,-1.256123,26.702628,6.283185
