dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,11.420415,8.288571,12.208365,2.020873,-3.221618,-0.201615,6.212454
0.050000,11.513187,8.282521,12.301334,1.859379,-3.229870,-0.165045,6.223686
0.050000,11.597940,8.277910,12.386212,1.697553,-3.236512,-0.132827,6.233985
0.050000,11.674637,8.274493,12.462985,1.535465,-3.241760,-0.104965,6.243331
0.050000,11.743252,8.272045,12.531644,1.373174,-3.245825,-0.081312,6.251711
0.050000,11.803765,8.270363,12.592180,1.210729,-3.248907,-0.061637,6.259114
0.050000,11.856162,8.269270,12.644589,1.048169,-3.251188,-0.045608,6.265533
0.050000,11.900433,8.268609,12.688865,0.885528,-3.252830,-0.032848,6.270961
0.050000,11.936573,8.268247,12.725006,0.722829,-3.253978,-0.022954,6.275396
0.050000,11.964577,8.268077,12.753011,0.560091,-3.254752,-0.015475,6.278834
0.050000,11.984443,8.268015,12.772877,0.397329,-3.255251,-0.009985,6.281274
0.050000,11.996171,8.268001,12.784605,0.234551,-3.255552,-0.006017,6.282715
0.050000,12.000000,8.268000,12.788434,0.076580,-3.159429,1.922459,6.283185
0.050000,12.000000,8.268000,12.788434,0.000000,-1.531598,32.556616,6.283185
